10/07/2017 7:58:39 SA	This log contains information about the import operation of the script 'database.sql' into project 'Database' on computer 'DESKTOP-J850NJH' by user'DuyAnh.
10/07/2017 7:58:40 SA	Started importing file: C:\Users\DuyAnh\Desktop\database.sql 
10/07/2017 7:58:40 SA	File name C:\Users\DuyAnh\Desktop\database.sql (size: 11856)
10/07/2017 7:58:40 SA	Parsing import script
10/07/2017 7:58:41 SA	Total number of batches in script: 45
10/07/2017 7:58:41 SA	Total number of statements in script: 3
10/07/2017 7:58:41 SA	The script was successfully imported into the project.
10/07/2017 7:58:41 SA	Analyzing schema objects...
10/07/2017 7:58:41 SA	Scanning project for duplicate elements
10/07/2017 7:58:42 SA	Element 'Customer' was merged into the existing script: 'E:\HocNHibernate\NHibernate_repository\Database\dbo\Tables\Customer.sql'.
10/07/2017 7:58:42 SA	Element 'Order' was merged into the existing script: 'E:\HocNHibernate\NHibernate_repository\Database\dbo\Tables\Order.sql'.
10/07/2017 7:58:42 SA	Element 'FK_Order_Customer' was merged into the existing script: 'E:\HocNHibernate\NHibernate_repository\Database\dbo\Tables\Order.sql'.
10/07/2017 7:58:42 SA	Finished duplicate element processing
10/07/2017 7:58:43 SA	In the script that you provided to the import operation, one or more statements were not fully understood. These statements were moved to the ScriptsIgnoredOnImport.sql file. Review the file contents for additional information.
10/07/2017 7:58:43 SA	A summary of the import was saved to the following location: E:\HocNHibernate\NHibernate_repository\Database\Import Script Logs\database_sql_20170710125839.log
10/07/2017 7:58:43 SA	Click Finish to continue...
